x 	 y 	 yerr 
-4.892	 129.249	 -7.066
-4.818	 135.989	 3.481
-4.767	 108.215	 -21.721
-4.735	 107.188	 -21.112
-4.547	 108.238	 -10.777
-4.424	 109.949	 -3.202
-4.306	 112.308	 4.664
-4.294	 129.219	 22.130
-4.288	 119.669	 12.865
-4.272	 103.684	 -2.399
-4.159	 100.675	 -0.285
-4.088	 82.782	 -15.038
-4.087	 97.507	 -0.278
-4.056	 92.075	 -4.330
-4.022	 99.774	 4.841
-3.992	 81.257	 -12.408
-3.989	 101.308	 7.790
-3.969	 115.653	 22.991
-3.829	 85.175	 -1.631
-3.818	 92.380	 6.026
-3.570	 86.790	 10.352
-3.371	 62.900	 -6.018
-3.268	 68.564	 3.361
-3.226	 63.888	 0.189
-3.042	 58.863	 1.465
-2.181	 20.743	 -11.595
-2.180	 32.661	 0.368
-2.068	 37.055	 7.470
-1.810	 45.583	 21.767
-1.807	 38.133	 14.389
-1.800	 55.887	 32.298
-1.713	 10.308	 -11.510
-1.592	 32.532	 13.085
-1.491	 20.336	 2.750
-1.280	 46.876	 32.847
-1.254	 1.498	 -12.124
-1.139	 -0.693	 -12.596
-1.118	 2.617	 -8.991
-1.108	 -20.396	 -31.858
-1.015	 2.309	 -7.886
-0.874	 -2.948	 -11.387
-0.710	 8.907	 2.256
-0.661	 11.299	 5.126
-0.585	 33.606	 28.143
-0.516	 19.132	 14.256
-0.417	 -4.530	 -8.654
-0.265	 -10.328	 -13.476
-0.258	 10.487	 7.379
-0.084	 -17.517	 -19.803
-0.056	 29.655	 27.472
0.031	 19.602	 17.692
0.053	 -5.181	 -7.038
0.456	 -24.025	 -25.697
0.495	 22.049	 20.308
0.734	 0.775	 -1.718
0.755	 21.151	 18.567
0.858	 -20.811	 -23.916
1.159	 -3.756	 -8.991
1.182	 5.520	 0.079
1.259	 6.849	 0.705
1.289	 -0.306	 -6.751
1.318	 16.078	 9.343
1.351	 -8.942	 -16.014
1.424	 5.733	 -2.136
1.433	 9.772	 1.804
1.587	 17.548	 7.717
1.725	 22.380	 10.674
1.830	 -3.614	 -16.870
1.967	 -7.561	 -23.012
2.010	 35.330	 19.165
2.351	 27.562	 4.985
2.506	 14.658	 -11.227
2.509	 49.209	 23.267
2.524	 28.010	 1.735
2.545	 44.449	 17.689
2.615	 29.361	 1.013
2.764	 62.821	 30.911
2.896	 61.581	 26.330
2.916	 32.027	 -3.734
3.035	 53.519	 14.574
3.068	 49.549	 9.681
3.145	 62.541	 20.529
3.219	 29.667	 -14.474
3.265	 55.784	 10.291
3.449	 67.000	 15.876
3.565	 28.467	 -26.381
3.584	 37.729	 -17.749
3.775	 31.330	 -30.588
3.877	 61.485	 -4.041
3.955	 79.117	 10.763
4.026	 93.483	 22.535
4.054	 73.105	 1.111
4.054	 96.435	 24.429
4.308	 61.152	 -20.702
4.402	 60.144	 -25.551
4.415	 85.368	 -0.833
4.501	 95.537	 5.761
4.506	 89.515	 -0.490
4.612	 63.501	 -31.012
4.905	 106.246	 -1.337
